Car Names,Mileages,Ratings,Prices
2020 Mercedes-Benz GLC 300 Base,"15,490 mi.",4.9,"$48,367"
2020 Mercedes-Benz GLE 450 AWD 4MATIC,"16,430 mi.",4.7,"$74,989"
2019 Honda CR-V EX-L,"8,362 mi.",4.7,"$33,998"
2021 Mercedes-Benz AMG GLE 53 Base,"15,399 mi.",4.8,"$109,714"
2018 Cadillac XT5 Luxury,"11,838 mi.",4.1,"$31,911"
2019 Honda CR-V EX,"31,367 mi.",4.7,"$31,747"
2019 GMC Sierra 1500 Denali,"10,810 mi.",4.6,"$57,000"
2019 Cadillac Escalade ESV Premium Luxury,"17,719 mi.",4.5,"$69,995"
2019 BMW X5 xDrive40i,"38,882 mi.",4.5,"$51,999"
2019 Mercedes-Benz C-Class C 300,"13,942 mi.",4.0,"$33,769"
2022 Mercedes-Benz GLC 300 Base 4MATIC,"19,956 mi.",4.8,"$46,230"
2020 Honda CR-V EX-L,"6,499 mi.",4.8,"$35,400"
2019 BMW X5 xDrive50i,"15,384 mi.",4.8,"$66,788"
2018 Cadillac XT5 Luxury,"15,488 mi.",4.7,"$34,793"
2021 Porsche 911 Turbo S,"47,758 mi.",4.8,"$289,995"
2019 BMW X2 sDrive28i,327 mi.,2.6,"$32,888"
2019 Cadillac XT5 Luxury,Mileage,4.7,"$36,000"
2019 Chevrolet Silverado 1500 RST,"30,510 mi.",4.7,"$41,388"
2019 Cadillac XT5 Luxury,"45,459 mi.",4.5,"$37,378"
2019 BMW X5 xDrive40i,"23,967 mi.",4.4,"$58,278"
2021 Toyota Tacoma SR5,"14,625 mi.",4.6,"$34,841"
2020 Nissan Rogue SL,"17,448 mi.",4.6,"$35,310"
2021 Kia Seltos S,"11,294 mi.",4.6,"$27,391"
2019 Cadillac XT5 Luxury,"17,319 mi.",4.5,"$41,700"
2019 BMW X1 sDrive28i,"20,134 mi.",4.5,"$32,995"
2018 BMW X1 sDrive28i,"18,625 mi.",4.5,"$29,962"
2020 Mercedes-Benz E-Class E 450 4MATIC,"46,645 mi.",4.9,"$61,623"
2020 Nissan Rogue SL,"19,150 mi.",4.7,"$32,989"
2019 Mercedes-Benz GLS 450 Base 4MATIC,"39,569 mi.",4.5,"$60,897"
2020 Cadillac XT4 Premium Luxury,"8,270 mi.",4.9,"$37,994"
2018 Cadillac XT5 Premium Luxury,"15,890 mi.",4.7,"$33,682"
2018 Cadillac XT5 Luxury,"45,313 mi.",4.8,"$32,991"
2020 Mercedes-Benz C-Class C 300 4MATIC,"13,655 mi.",4.2,"$43,800"
2020 BMW X7 xDrive40i,"11,453 mi.",4.4,"$71,959"
2020 RAM 1500 Limited,"7,931 mi.",4.4,"$53,791"
2019 Honda CR-V EX-L,"23,151 mi.",4.4,"$32,389"
2020 Acura MDX 3.5L,Mileage,4.7,"$41,991"
2021 Mercedes-Benz C-Class C 300 4MATIC,"15,317 mi.",4.4,"$42,922"
2019 Honda CR-V EX-L,"13,377 mi.",4.8,"$32,600"
2019 Volvo XC60 T5 Momentum,"36,328 mi.",4.7,"$36,962"
2019 Volkswagen Jetta 1.4T S,"35,000 mi.",4.6,"$21,000"
2019 BMW X5 xDrive40i,"35,335 mi.",4.8,"$53,795"
2020 Cadillac XT6 AWD Premium Luxury,"33,394 mi.",4.8,"$54,490"
2021 Mercedes-Benz GLB 250 Base 4MATIC,"19,253 mi.",4.9,"$45,488"
2019 Mercedes-Benz GLA 250 Base 4MATIC,"9,907 mi.",4.7,"$32,990"
2019 BMW 530e iPerformance,"13,075 mi.",4.6,"$44,996"
2021 Porsche Macan GTS,"19,058 mi.",4.9,"$89,998"
2020 Mercedes-Benz GLC 300 Base,"17,377 mi.",4.9,"$45,423"
2019 Volvo S60 T6 Momentum,"20,820 mi.",4.9,"$33,899"
2020 Toyota RAV4 LE,"37,507 mi.",4.7,"$29,998"
2021 Mercedes-Benz AMG GLE 53 Base,"19,887 mi.",4.9,"$92,954"
2019 Toyota Camry SE,"17,870 mi.",4.0,"$26,988"
2018 Toyota RAV4 LE,"15,172 mi.",4.8,"$28,500"
2019 Mercedes-Benz GLA 250 Base 4MATIC,"17,759 mi.",4.6,"$35,881"
2021 Jeep Wrangler Sport,"18,884 mi.",3.8,"$39,499"
2021 Mercedes-Benz C-Class C 300,"18,306 mi.",4.8,"$42,770"
2020 BMW 750 i xDrive,Mileage,4.1,"$77,900"
2021 Honda Accord EX-L,"22,966 mi.",4.6,"$35,699"
2019 Honda Passport EX-L,"21,469 mi.",4.7,"$33,393"
2019 Honda CR-V EX-L,"15,000 mi.",4.5,"$32,246"
2020 Toyota C-HR XLE,"21,388 mi.",4.0,"$26,688"
2019 Honda Odyssey EX-L,"18,206 mi.",4.5,"$38,779"
2019 Porsche Macan S,"42,612 mi.",4.9,"$63,367"
